"corpus","preloaded/nltenten20_tt3"
"subcorpus","-"
"concordance size","208791"
"query","Query:[lc=""Tilburg"" | lemma_lc=""Tilburg""]"
"Reference","Left","KWIC","Right"
"aectueel.nl","vanaf de Rozenboomlaan. </s><s> De CMHF (Centrale voor Middelbare en Hogere Functionarissen) heeft de Universiteit van","Tilburg","opdracht gegeven onder zijn leden onderzoek te verrichten naar de bekendheid met keuzemogelijkh... </s><s> Lees meer </s><s> Deze"
"omroeptilburg.nl","verklaringen aflegden. </s><s> Het Openbaar Ministerie vermoedt dat zij niet de waarheid spreken en zijn beïnvloed. </s><s>","TILBURG","- Voor het eerst sinds de Tweede Wereldoorlog vindt er dit jaar geen Tilburgse Kermis plaats. </s><s> De verrassing was niet"
"omroeptilburg.nl","verrassing was niet heel groot, maar na de persconferentie van Mark Rutte dinsdag is de kermis van 2020 definitief... </s><s>","TILBURG","- In deze coronatijd is er een klein lichtpuntje voor de culturele sector. </s><s> Alle culturele activiteiten die vanwege de"
"omroeptilburg.nl","Mark Rutte... </s><s> In deze aflevering van Paradox Live kun je kijken naar het concert van Yuri Honing bij Paradox","Tilburg",". </s><s> Deze Nederlandse saxofonist reist de hele wereld over en speelt misschien nog wel vaker op andere continenten dan... </s>"
"omroeptilburg.nl","en speelt misschien nog wel vaker op andere continenten dan... </s><s> Het Hart van Brabant Nieuws van maandag 16 maart 2020: –","Tilburg","valt grotendeels stil door coronamaatregelen – Lagere maximumsnelheid nu overal van kracht – ""Mensen merken dat ze"
"kleintjepils.nl","tijdens de viering in de Friezenkerk. </s><s> Het bracht onder meer de Pauselijke Hymne ten gehore. </s><s> Nederlandse pelgrims uit","Tilburg",", Utrecht en met name uit het Bisdom Rotterdam, vierden op 15 oktober de Eucharistie in de Friezenkerk. </s><s> Op een"
"harmoniemill.nl","leraren hebben zij een A/B-examen Drum & Show / HaFaBra afgelegd aan het Centrum voor Amateurkunst (CvA) in","Tilburg",". v.l.n.r. </s><s> Frank Lintzen, Tjeerd Meulepas, Daan van Summeren, Rob Nuijen, Gijs van Tienen en Evelien Verstegen. </s><s> Om 09:"
"omroeptilburg.nl",". </s><s> Ik slaap goed de laatste tijd. </s><s> (...) Het is fantastisch om dit mee te maken bij de club waar je groot geworden bent.'' </s><s>","TILBURG","- De coronamaatregelen voor de dag- en weekmarkten in Brabant zijn versoepeld. </s><s> De afgelopen tijd waren alleen kramen"
"omroeptilburg.nl","waren alleen kramen waar voedsel wordt verkocht toegestaan, maar vanaf vrijdag mogen alle marktkooplieden hun... </s><s>","TILBURG","- In de laatste persconferentie werd duidelijk dat horecagelegenheden die bij hotels horen weer open mogen voor hun"
"omroeptilburg.nl","weer open mogen voor hun gasten. </s><s> Het restaurant en het grand café van hotel Mercure maken hier dankbaar gebruik van... </s><s>","TILBURG","– Wethouder Berend de Vries heeft aangegeven dat horecaondernemers in het jaar 2020 geen precariobelasting hoeven te"
